VendorNumber,VendorName,BrandCount,CategoryCount,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,AllocatedFreight,AdjustedProfit,ExciseTax,InventoryAtRisk,UnsoldQuantity,BeginningInventoryUnits,EndingInventoryUnits,InventoryChangeUnits,EndingInventoryRetailValue,PurchaseLineCount,InvoiceCount,AvgLeadDaysWeightedSum,AvgLeadDaysWeight,GrossMarginPct,AdjustedMarginPct,StockTurnover,SellThroughRate,SalesToPurchaseRatio,AvgLeadDays,RevenueSharePct,CostSharePct,PerformanceScore,PerformanceRank,PerformanceTier,RiskScore,WatchlistReason
10050,Russian Standard Vodka,11,1,12798.0,15207.0,138907.27,139327.43,420.1599999999964,732.6000000000001,-312.44000000000165,6152.400000000001,68079.36,4158.0,6567.0,4158.0,-2409.0,90966.92,661.0,51.0,5380.0,661.0,0.3015630159832823,-0.22424873551460875,1.1882325363338022,0.7852827265685515,1.0030247516922621,8.139183055975794,0.030820360168297076,0.043152202440802936,27.054263565891475,106,Critical,6,Negative adjusted profit
173357,TAMWORTH DISTILLING,4,1,1990.0,1488.0,41036.44,40021.12,-1015.3199999999988,202.49999999999997,-1217.8199999999988,1030.1,12664.52,608.0,106.0,608.0,502.0,16725.92,153.0,45.0,1271.0,153.0,-2.5369604848639886,-3.042943325923909,0.7477386934673367,0.7099236641221374,0.9752580876898679,8.30718954248366,0.008852997092809633,0.012748164774456106,10.930232558139535,120,Critical,6,Negative adjusted profit
60,ADAMBA IMPORTS INTL INC,3,1,4732.0,3978.0,76770.25,67576.22,-9194.030000000002,367.52,-9561.550000000003,7261.07,12389.599999999999,764.0,10.0,764.0,754.0,11482.36,626.0,35.0,4761.0,626.0,-13.605422144061924,-14.149282099531465,0.8406593406593407,0.8388865457612822,0.880239676176644,7.605431309904153,0.01494840922000844,0.02384904238223854,17.519379844961243,115,Critical,6,Negative adjusted profit
90059,BLACK COVE BEVERAGES,1,1,919.0,313.0,14465.06,6256.869999999999,-8208.19,74.84,-8283.03,122.86999999999999,9538.44,606.0,0.0,606.0,606.0,12113.939999999999,44.0,8.0,410.0,44.0,-131.18683942610286,-132.38296464526195,0.3405875952121872,0.3405875952121872,0.4325505735890483,9.318181818181818,0.0013840705087735624,0.004493639515328183,5.155038759689923,126,Critical,6,Negative adjusted profit
99166,STARK BREWING COMPANY,1,1,1212.0,846.0,25961.04,25371.54,-589.5,130.09,-719.59,666.39,7839.72,366.0,0.0,366.0,366.0,10976.34,41.0,12.0,348.0,41.0,-2.3234695253027606,-2.8362093905218213,0.698019801980198,0.698019801980198,0.9772928973569626,8.487804878048781,0.005612390904105214,0.008064920242502664,10.620155038759691,121,Critical,6,Negative adjusted profit
287,APPOLO VINEYARDS LLC,2,1,230.0,108.0,2399.7,1616.92,-782.7800000000001,12.280000000000003,-795.0600000000002,11.9,4674.25,448.0,326.0,448.0,122.0,6939.52,18.0,13.0,134.0,18.0,-48.411795265071866,-49.171263884422245,0.46956521739130436,0.19424460431654678,0.6738008917781391,7.444444444444445,0.0003576758486345647,0.0007454781898542446,14.186046511627909,118,Critical,6,Negative adjusted profit
3951,HIGHLAND WINE MERCHANTS LLC,11,1,372.0,82.0,5500.32,1533.68,-3966.6400000000003,29.43,-3996.07,9.19,4461.23,290.0,0.0,283.0,283.0,6591.67,28.0,7.0,149.0,28.0,-258.6354389442387,-260.55435292890303,0.22043010752688172,0.22043010752688172,0.2788346859819065,5.321428571428571,0.0003392624839409861,0.0017087005030708416,13.604651162790699,119,Critical,6,Negative adjusted profit
2,"IRA GOLDMAN AND WILLIAMS, LLP",2,1,328.0,42.0,5630.88,1265.58,-4365.299999999999,27.08,-4392.379999999999,2.52,4189.16,244.0,16.0,244.0,228.0,6169.5599999999995,13.0,4.0,125.0,13.0,-344.9248565874934,-347.0645869877842,0.12804878048780488,0.12209302325581395,0.22475705395959422,9.615384615384615,0.0002799565844413653,0.0017492595864843394,3.4108527131782944,127,Critical,6,Negative adjusted profit
3551,GILMANTON WINERY & VINEYARD,2,1,516.0,240.0,5393.04,3837.6000000000004,-1555.4399999999998,26.63,-1582.0699999999997,26.520000000000003,2885.74,276.0,0.0,276.0,276.0,4413.24,43.0,8.0,344.0,43.0,-40.531582238899304,-41.225505524286,0.46511627906976744,0.46511627906976744,0.7115838191446754,8.0,0.00084890831749252,0.001675373462104236,8.565891472868218,122,Critical,6,Negative adjusted profit
6280,UNCORKED,7,1,243.0,62.0,2966.3100000000004,1124.3799999999999,-1841.9300000000003,15.259999999999998,-1857.1900000000003,6.830000000000001,2350.55,187.0,6.0,187.0,181.0,3313.1299999999997,16.0,7.0,133.0,16.0,-163.8173926964194,-165.17458510467995,0.2551440329218107,0.24899598393574296,0.37905006556968074,8.3125,0.0002487219965661454,0.0009214982745120409,5.232558139534883,125,Critical,6,Negative adjusted profit
5083,LOYAL DOG WINERY,1,1,240.0,74.0,2320.8,1111.26,-1209.5400000000002,10.680000000000001,-1220.2200000000003,8.18,1605.22,166.0,0.0,166.0,166.0,2488.34,20.0,3.0,119.0,20.0,-108.84401490200315,-109.80508611846017,0.30833333333333335,0.30833333333333335,0.4788262668045501,5.95,0.00024581974590805135,0.0007209675305303709,14.92248062015504,116,Critical,6,Negative adjusted profit
9099,TRUETT HURST,1,1,24.0,1.0,236.64,14.99,-221.64999999999998,1.2499999999999998,-222.89999999999998,0.11,226.77999999999997,23.0,0.0,23.0,23.0,344.77,1.0,1.0,5.0,1.0,-1478.6524349566375,-1486.991327551701,0.041666666666666664,0.041666666666666664,0.0633451656524679,5.0,3.3159098601242636e-06,7.351333868696439e-05,14.263565891472869,117,Critical,6,Negative adjusted profit
4901,LAUREATE IMPORTS CO,1,1,29.0,0.0,140.94,0.0,-140.94,0.72,-141.66,0.0,140.94,29.0,0.0,29.0,29.0,217.21,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.378367965914791e-05,6.86046511627907,124,Critical,6,Negative adjusted profit
54,AAPER ALCOHOL & CHEMICAL CO,1,1,1.0,0.0,105.07,0.0,-105.07,0.4799999999999999,-105.55,0.0,105.07,1.0,0.0,1.0,1.0,134.49,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.264049398174167e-05,7.131782945736434,123,Critical,6,Negative adjusted profit
4425,MARTIGNETTI COMPANIES,1520,2,2640411.0,2581318.0,27861690.02,41047306.3,13185616.28,144929.24,13040687.04,756323.75,5660244.66,443147.0,393976.0,436681.0,42705.0,8605671.17,176781.0,82.0,1376440.0,176781.0,32.12297582606535,31.76989726119982,0.9776197720733628,0.8506884586573829,1.4732525654594157,7.786130862479565,9.079997844677171,8.655366188435917,77.7906976744186,13,Stable,3,High inventory at risk
12546,JIM BEAM BRANDS COMPANY,389,2,2737165.0,2630226.0,24203151.05,31906320.54,7703169.49,123880.97,7579288.52,2249059.55,3800386.7199999997,392654.0,285527.0,392654.0,107127.0,5085990.06,189832.0,55.0,1426202.0,189832.0,24.14308312468298,23.754818455164934,0.9609307440362564,0.870160108936008,1.3182713471517171,7.512969362383581,7.057937483580476,7.518823700263725,70.03875968992247,30,Stable,3,High inventory at risk
17035,PERNOD RICARD USA,254,2,1647558.0,1613460.0,24124091.56,32281247.95,8157156.389999999,123780.21999999999,8033376.169999999,1498865.94,3561348.74,245233.0,212333.0,244949.0,32616.0,4895009.33,107612.0,55.0,813649.0,107612.0,25.269024303628257,24.885581196993346,0.9793039152491142,0.8675024504124167,1.3381332047141343,7.560950451622496,7.140874474617824,7.494263494614685,73.68217054263566,19,Stable,3,High inventory at risk
9165,ULTRA BEVERAGE COMPANY LLP,905,2,1077527.0,1043235.0,13210613.93,17822938.45,4612324.52,68054.7,4544269.82,310243.81,3475406.94,220637.0,186322.0,218663.0,32341.0,4873744.21,84034.0,55.0,706766.0,84034.0,25.87858636744605,25.496748657626654,0.9681752754223328,0.8254427546328715,1.349137787572905,8.410476711807126,3.942578875433146,4.103939892236391,63.83720930232558,40,Stable,3,High inventory at risk
1392,CONSTELLATION BRANDS INC,465,2,2325892.0,2301688.0,15573917.9,24469172.93,8895255.03,79528.99,8815726.04,692134.5,2254597.6999999997,316026.0,291346.0,315685.0,24339.0,3534879.52,185574.0,55.0,1435531.0,185574.0,36.352904348042465,36.02788727358918,0.9895936698694522,0.879433968175611,1.571163601035806,7.735625680321597,5.412779972493177,4.838111482698095,84.41860465116278,1,High Impact,3,High inventory at risk
9552,M S WALKER INC,898,2,1372841.0,1343481.0,10935817.3,15465247.75,4529430.45,55551.82,4473878.63,943256.01,2160674.5,222184.0,199006.0,219250.0,20244.0,3108599.42,112792.0,55.0,891677.0,112792.0,29.28779753948656,28.928593335984548,0.9786136923358204,0.8547148672867015,1.4141830761931253,7.905498616923186,3.421038525916584,3.397263526849495,71.9767441860465,23,Stable,3,High inventory at risk
10754,PERFECTA WINES,853,2,553116.0,512750.0,5665501.53,7825504.16,2160002.63,28720.52,2131282.11,70027.18000000001,2052083.79,136995.0,99650.0,133764.0,34114.0,3024578.46,34503.0,55.0,250773.0,34503.0,27.602089090193516,27.235077337176953,0.9270207334447024,0.7855035341914254,1.3812553255104318,7.268150595600383,1.7310651370638723,1.7600149290331515,69.03100775193799,32,Stable,3,High inventory at risk
480,BACARDI USA INC,172,2,1427075.0,1457301.0,17624378.72,25014556.89,7390178.169999999,89286.27,7300891.899999999,1365152.07,2039069.57,180110.0,209982.0,180110.0,-29872.0,2780746.4,91846.0,55.0,707242.0,91846.0,29.543510214863527,29.186572970711534,1.0211803864548115,0.8901956376595317,1.4193156699256404,7.700302680574004,5.533423338104759,5.475096864396078,80.15503875968992,5,High Impact,3,High inventory at risk
1128,BROWN-FORMAN CORP,135,2,1006122.0,983853.0,13529433.08,18478557.47,4949124.39,68601.68,4880522.71,766237.86,1854253.65,139864.0,119751.0,138513.0,18762.0,2513306.37,59525.0,55.0,449260.0,59525.0,26.783066795310834,26.411816603777353,0.977866501279169,0.8738578862802465,1.3658042699007162,7.547417051658967,4.087607132464701,4.202982573751942,73.29457364341086,20,Stable,3,High inventory at risk
8112,MOET HENNESSY USA INC,119,2,427867.0,424251.0,9472995.2,13546931.06,4073935.86,48347.26,4025588.6,191770.03,1744227.19,73381.0,69076.0,73381.0,4305.0,2466500.39,29412.0,55.0,218571.0,29412.0,30.072758486452354,29.715871308198714,0.9915487756709445,0.8537216541937406,1.430057840628907,7.431354549163607,2.9966912792713574,2.9428309014434917,79.14728682170544,9,Stable,3,High inventory at risk
3252,E & J GALLO WINERY,513,2,1858260.0,1809023.0,12289608.09,18556085.61,6266477.52,61966.91,6204510.609999999,508544.87,1740598.14,241771.0,192585.0,240414.0,47829.0,2636065.17,162567.0,55.0,1238713.0,162567.0,33.77047105572176,33.43652718791266,0.9735037077696339,0.8820866520873104,1.5099005170961477,7.619707566726334,4.1047569872921255,3.817825058528683,79.53488372093022,8,Stable,3,High inventory at risk
